how_natural;language;length;max_workers;mean_rating;text;std_dev
1, 1, 4, 1, 1, 4, 4, 1, 4, 4, 4, 1, 4, 1, 1, 1, 1, 1, 4, 1;zh;13;20;2.2;Larsen / Kincaid reach the town , meeting Alice 's mother , widow Ellen Bailey ( Dorothy Green ) .;1.5078740698501
4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 1;zh;13;20;3.1;Maldives later stole the head of the island garrison and Funadhoo buried it.;1.41048703794488
4, 1, 4, 4, 1, 1, 1, 1, 1, 4, 4, 1, 1, 4, 1;zh;11;15;2.2;Mianzhu ( ) is Deyang , Sichuan Province, a county-level city in southwest China.;1.52127765851133
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1;no;9;20;3.7;More reprint editions exist, with varying numbers of volumes.;0.923380516876639
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1;no;15;20;3.85;Myrtle Beach is served by the Coast RTA and the Pee Dee Regional Transportation Authority .;0.670820393249937
1, 1;es;21;2;1;No penalties attach to the failure or refusal to recite the pledge oath .The is voluntary and is not sanctioned by default. ;0
4, 4, 1, 1, 4, 1, 4, 4, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 4, 4;es;24;20;2.5;Once in the study, however , the team did not have a clear direction for the album as there were concepts that are being discussed .;1.53896752812773
1, 1, 4, 1, 1, 1, 4, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1;es;13;20;2.35;Paul Evans Aidoo (born August 4, 1958 ) is a professor of political and Ghana .;1.53125335660212
4, 4, 1, 4, 1, 1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 1, 1, 4, 1, 4;no;12;20;2.35;Peter Ustinov said, before looking  uMabatha  , he did not really understand  Macbeth  .;1.53125335660212
4, 4, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 1;ja;20;20;1.9;Posters before the mistake was discovered by Coca-Cola management has been distributed to shops bottle hotels and thousands of Australia .;1.41048703794488
1, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4;no;11;20;3.1;Qun -Quran or Qun - Qiran ( r.1251 - c.1280 ) was khan of Orda 's Ulus .;1.41048703794488
1, 1, 4, 1, 1, 1, 4, 1, 4, 4, 1, 1, 1, 4, 1, 1, 4, 1, 1, 4;zh;18;20;2.05;Randonneuring bike way , requiring almost covers a long period of time the generous allocation of continuous riding distance.;1.46808145478878
1, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;23;20;3.7;Richard Hargrave Colless (born November 12, 1952 ) is an Australian politician and National Party member of the Legislative Council of New South Wales Australia .;0.923380516876639
4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 4, 1, 1, 4, 1, 1, 4, 1, 4;ja;10;20;2.8;Robert Clark ( March 14, born 1987 ) is an American actor .;1.5078740698501
4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4;es;15;20;3.4;Satiacum was convicted , but the Supreme Court of the State of Washington overturned the conviction .;1.23117402250218
4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 1;ja;12;19;3.05263157894737;Series is based on the novel written by Diana Gabaldon of  Outlander  .;1.43270079882276
4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4;ja;21;20;2.5;She was the People's Party for the chair of party democracy and freedom from March 29 1969 until March 15, 1975 .;1.53896752812773
4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 1;no;21;20;3.25;Since she was already finished composing enough material for two albums , she sent them to a meeting to plan her debut.;1.33278497495796
4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1;ja;10;20;3.55;Since then , I've sold 1.36 million copies in the UK .;1.09904264559757
4;zh;17;1;4;Slightly more complex hard wood pallets, plastic pallets and metal pallets can be canceled from all sides .;
4, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 1, 1;es;10;20;2.5;Solemnity monomanias uncongenial and fans are unimaginable in this context.;1.53896752812773
4, 4, 4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 4, 4, 1;es;24;20;2.65;Sonora () officially Free and Sovereign State of Sonora ( ) is one of 31 states with the Federal District, comprise the 32 federative entities of Mexico .;1.53125335660212
4, 4, 1, 1, 4, 1, 4, 1, 1, 4, 4, 1, 4, 1, 1, 4, 1, 4, 4, 4;es;8;20;2.65;South of Shadwell Basin starting from the west :;1.53125335660212
4, 4, 1, 4, 1, 1, 4, 4, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 1, 4;en;8;20;2.5;South of Shadwell Basin starting from the west :;1.53896752812773
4, 4, 1, 1, 1, 4, 1, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4;no;10;20;2.2;"Spence married in 1958 ; She and her husband, a dentist ,";1.5078740698501
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;no;13;20;4;The change came after INN added HD capabilities to its centralized production studios.;0
1, 1, 1, 4, 1, 1, 1, 1;no;12;8;1.375;The Committee has received, discussed and manuscripts sent out for critical review .;1.06066017177982
4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4;en;11;20;3.4;The Committee received , discussed , and sent manuscripts out for critical review .;1.23117402250218
1, 1, 4, 1, 4, 1, 1, 4, 1;zh;16;9;2;The department has opened trade three -month and six -month futures dollar / CRCKZT exchange rate and KASE index .;1.5
4, 4, 4, 1, 1, 4, 1, 4, 1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4;en;23;20;2.8;The different moments of primitive accumulation distribute themselves now , more or less in chronological order , particularly over Spain , Portugal , Holland , France , and England .;1.5078740698501
4, 1, 1, 1, 1, 1;es;22;6;1.5;The doctrine merges Israeli counterterrorism tactics with advanced theories Fixing Broken Windows by criminologist George L. Kelling and James Q sociologist . Wilson.;1.22474487139159
4, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1;es;15;20;1.75;The early development of children's literature , before printing was invented , it is difficult to trace.;1.33278497495796
4, 4, 1, 4, 4, 1, 4, 1, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 1;no;16;20;2.95;The highway began on US 62 south of Prairie Grove and drove south to a factory.;1.46808145478878
4, 1, 1, 1, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4;es;17;20;3.25;The Interactive Products Group , with a workforce of 95, had his own animators , art department , and engineers .;1.33278497495796
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;14;20;4;The race was stopped after 20 laps due to an accident involving Niklas Ajo .;0
1, 4, 4, 1, 4, 1, 4, 4, 1;en;23;9;2.66666666666667;The reviews were formally brought to an end in 1967 by the Local Government ( Termination of Reviews ) Act 1967 , which dissolved the Commission .;1.58113883008419
4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;12;20;3.85;The series is based on the  Outlander  novels written by Diana Gabaldon .;0.670820393249937
1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;zh;9;20;1.15;The series is based on the book,  Outlander  novels戴安娜加瓦尔East .;0.670820393249937
4, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 1;zh;12;15;1.8;The siliceous quartz and different color from white to pale olive gray.;1.37321312465119
4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4;en;14;20;3.4;The socks include a design that features anatomically placed cushioning and an Achilles protector .;1.23117402250218
1, 4, 1, 1, 4;es;19;5;2.2;The son of William T. Lesley Lesley was sheriff and a member of the Constitutional Convention of 1885 Florida.;1.6431676725155
4, 4, 4, 4, 1, 1, 1, 1, 1, 4, 1, 1, 4, 4, 1, 1, 4, 4, 4, 4;zh;19;20;2.65;The station can also be seen in the chapter about the channel 6 and the high-definition digital channel 785 .;1.53125335660212
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 4, 4, 4, 4;no;14;20;3.55;The tail of a traditional lionhead can be fully separated , partially separated , or webbed .;1.09904264559757
4, 4, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1;no;24;18;2;The two horses ran head-to -head down the stretch with a certain Dr Devious go ahead near the wire to win by a short head.;1.455213750218
1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1;zh;13;20;2.2;Their first title ,  Home , released praise on September 28, 1999 , and successfully sold .;1.5078740698501
4, 1, 4, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1;zh;16;20;1.75;Their name , talangpaz, meaning  rock or boulder , which evokes a religious house, they built on the rock.;1.33278497495796
4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 1, 1, 1, 1;ja;18;20;1.75;Then , by lowering , the fare of SpiceJet again was followed by , Jet Airways plans to attract more passengers .;1.33278497495796
4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4;en;9;20;2.65;There , he was a student DJ and studied journalism .;1.53125335660212
4, 4, 4, 4, 1, 1, 1;no;24;7;2.71428571428571;There are several denticles on the tail behind the spikes , and small individuals also have a bead backbone in the center of the plate.;1.60356745147455
4, 1, 4, 1, 1, 1, 4, 4, 1, 4, 4, 1, 4, 1, 1, 4, 1, 4, 4, 1;ja;16;20;2.5;There is no specific genre of art and his music , but it is sometimes called Horrorpunk .;1.53896752812773
4, 1, 1, 1, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 1, 4, 4, 4, 1, 1;es;9;20;2.65;There, he was a student DJ and studied journalism .;1.53125335660212
4, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4;es;13;20;1.9;Therefore, it is probably time assigned to a new , yet - to-be- named subfamily.;1.41048703794488
4, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 1, 1, 1, 4, 1, 4, 4, 4, 1;en;25;20;2.8;They are perceived/misconceived to severely damage hard terrain like asphalt pavement , but , actually , often have significantly lower ground pressures than equivalent or lighter wheeled vehicles .;1.5078740698501
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;13;20;4;This decoration had the distinction of being conferred exclusively to females until 1976 .;0
1;zh;14;1;1;This decoration has been given specifically for women until the difference between the 1976 's .;
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;16;20;4;This left Hayden eight points behind Rossi in the championship with one race left to go .;0
4;es;20;1;4;This paper then addresses the most important question in astronomy : the stability of the Solar System , first investigated by Laplace.;
4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4, 4, 4, 1, 1, 1, 4;es;18;20;2.8;This sector has opened trading in three months and six months futures USD / KZT rate and KASE Index .;1.5078740698501
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;9;20;4;This story does not hold up well under scrutiny.;0
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 1;no;10;20;3.55;This temple is made of a fine-grained gray sand stone.;1.09904264559757
4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 4, 4, 4, 1;es;9;20;3.55;This temple is made of stone gray fine-grained sand .;1.09904264559757
4, 4, 4;no;13;3;4;This wheel is powered by the heat of a candle or electric light.;0
4, 1, 4, 4, 1, 4, 1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 4, 4, 1, 1;ja;21;20;2.2;To make a return of Jungledyret 3, he hopes that you maintain the safety of Hugo Turn over a new leaf .;1.5078740698501
1;ja;11;1;1;Topical form to treat glaucoma , It has been approved in Japan .;
1, 4, 4, 1, 4, 1, 1, 4, 1;no;23;9;2.33333333333333;Under Stimson Doctrine , the United States and under similar doctrines , the legitimacy of the Soviet occupation of the Baltic States was never recognized .;1.58113883008419
4, 1, 4, 4, 4, 1, 4, 1, 4, 1, 1, 4, 1, 4, 4, 1, 1, 1, 4, 4;zh;13;20;2.65;Verrinder county championship in 1974 made his first-class debut for Surrey against Middlesex .;1.53125335660212
4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;14;20;3.85;Verrinder made his first-class debut for Surrey against Middlesex in the 1974 County Championship .;0.670820393249937
4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4;ja;10;20;2.2;Volkswagen , was an early adopter of the restraint system passive .;1.5078740698501
1, 4, 4, 1, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 4, 4, 4, 4, 1, 4;en;17;20;2.5;Was inactivated in 1963 when SAC inactivated its provisional Strategic Wings , redesignating them permanent Air Force Wings .;1.53896752812773
4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 4;es;18;20;1.9;We have established several chapters PVMA , Inc. as the profession of veterinary medicine made during the current Philippines.;1.41048703794488
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4;en;22;20;3.85;When Archer asked his publishers for some money to record the new songs that he had written , they terminated his contract instead .;0.670820393249937
1, 4, 4, 1, 1, 1, 4, 4, 4, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 4;es;17;20;2.2;Williams embarked on a career, but Gerhart recovered to bring him down in the yard 12 Minnesota.;1.5078740698501
4, 4, 4, 4, 1, 4, 4, 1;es;11;8;3.25;Within days, the four decided to form their own theater company .;1.38873014965883
4, 4, 1, 4, 4, 4, 1, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4;zh;15;20;2.2;Equilibrium analysis and optimization and efficiency in exchange derivatives life and death and Say's Law .;1.5078740698501
4, 4, 4;en;19;3;4;Throughout his career , he produced hundreds of humorous , puzzling and provocative tableaux that challenge and mock preconceptions and taboos .;0
4, 4, 1, 4, 4, 4, 4;en;23;7;3.57142857142857;No penalties attach to a failure or refusal to recite the pledge .The pledge is made voluntarily and no penalties are imposed for noncompliance . ;1.13389341902768
4, 4, 1, 4, 4, 4, 4;en;18;7;3.57142857142857;He gained fame for healing paralytics and for his prophetic abilities , obtained through a state of religious ecstasy .;1.13389341902768
1, 4, 1, 1, 4, 1, 1, 1;en;17;8;1.75;Equilibrium analysis and its derivatives of optimization and efficiency in exchange live or die with Say's law .;1.38873014965883
4, 4, 4;en;22;3;4;Jason Stewart ( born 1971 ) is an American film and television editor best known for his work on independent films and reality television .;0
4, 4, 1, 4, 1, 1, 1;en;20;7;2.28571428571429;After investigation , he exonerated Ninian Edwards and his vendors , and placed the blame for the meat problem solely on subâ€“contractors .;1.60356745147455
4, 1;en;20;2;2.5;The median income for a household in the town was $ 24,583 , and the median income for a family was $ 23,214 .;2.12132034355964
4, 1;zh;17;2;2.5;Logan scrub Western claims investigation and verification of its accuracy , and efforts to eradicate fraud and dishonesty .;2.12132034355964
1, 1, 1, 1, 4, 1, 1, 1;zh;19;8;1.375;He played for three seasons in the NFL , and two people with the Seattle Seahawks and the Miami Dolphins .;1.06066017177982
4, 4;zh;23;2;4;Jason Stewart ( born in 1971 ) is an American film and television editor, best known for his independent film and television reality show work.;0
1, 4, 1, 4, 1, 1, 1;zh;11;7;1.85714285714286;They eat leaves , and sometimes fruits, flowers and buds , and bark.;1.4638501094228
4, 4, 4, 4, 1, 4, 4, 1, 4, 4;zh;20;10;3.4;The median income for a household in the town was $ 24,583 , and the median income for a family is $ 23,214 .;1.26491106406735
1, 4, 1, 4, 1, 1, 1;zh;25;7;1.85714285714286;Different moments of primitive accumulation , distribution and now own more or less chronological order , particularly in Spain, Portugal, the Netherlands , France and the United Kingdom.;1.4638501094228
1, 4, 1, 1, 1, 1, 1;ja;21;7;1.42857142857143;Throughout his career , I have created him to challenge , hundreds of taboo and prejudice and mock tableau provocative and humorous inexplicable .;1.13389341902768
1, 4, 1, 1, 4, 1, 1, 1;ja;13;8;1.75;He is  discriminat ... logician and acute ...  and  attention and coolness habitual  of lawyers .;1.38873014965883
4, 4, 1, 1;ja;23;4;2.5;According to the census of 2010 , the town has a total area of ( 99.94 percent ) or is water is ( or 0.06% ) and land .;1.73205080756888
1, 1, 1, 4, 1, 1, 1;ja;17;7;1.42857142857143;Led to Raymond , military march skirmish and Turks , the Anatolia between Amasya and Merzifon and a Kastamonu .;1.13389341902768
1, 4, 1, 4, 1, 1, 1;ja;18;7;1.85714285714286;In exchange for the equilibrium analysis , I die in Say's Law or derivative live its efficiency and optimization .;1.4638501094228
1, 1;ja;23;2;1;He returned to Darlington , but was released was the Cup and the League of 49 for the club , in the summer of 2007 .;0
4, 1, 1;ja;19;3;2;The Limited Edition , which comes with gold case and special black , and includes both  Failure - Intro  and  Failure - heaven  .;1.73205080756888
4, 4, 4;es;25;3;4;The most common spelling of the word is composed of the characters  shin /  kami  (ç¥ž) , meaning  deity  and  something divine  and bu (æ­¦) , denoting military , cavalry or arms .;0
1, 1, 1;es;21;3;1;Simons said that Lansky and his female backup ' attire was  glamorous kick - ass - or - maybe a- sides -VA- club dresses and heels .;0
1, 4, 1, 1, 1, 4, 1, 4, 1, 4;es;21;10;2.2;Analysis of equilibrium and its derivatives of the optimization and efficiency in the exchange of live or die with Say's Law .;1.54919333848297
4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;22;10;4;He returned to Darlington, but was released in the summer of 2007 , having made 49 league and cup appearances for the club .;0
1, 4, 1, 1;es;25;4;1.75;The characteristics of the malls over 20 anchors and over 200 specialty shops and a variety of theme restaurants, casual restaurants and local art leisure .;1.5
4, 4, 1, 4, 1, 4, 4;es;23;7;3.14285714285714;However, these rights and privileges ( see Dhimmitude ) , including freedom of worship and religious organization, often established in principle but seldom corresponded to reality.;1.4638501094228
1, 4;es;22;2;2.5;The first edition of the limited edition comes with a special black and gold case and has two Disorder - Intro and  Disorder - Heaven  .;2.12132034355964
4, 1, 1;zh;8;3;2;Dongola is in Union County , Illinois , USA village.;1.73205080756888
1, 1, 4;ja;14;3;2;On May 7, 2013 , Burton , has announced he is to retire from international rugby .;1.73205080756888
1, 4, 4, 1, 4, 1, 1;ja;11;7;2.28571428571429;Building of the parking lot was opened on June 1, 2013 .;1.60356745147455
4, 4;zh;16;2;4;Starting in 1999 , the central bank began to implement reforms in order to meet international standards.;0
1, 1, 4, 4, 4, 4, 4;no;13;7;3.14285714285714;Take That also used the backing music track  Kidz  from their 2010 album Progress  .;1.4638501094228
4, 1, 1;no;11;3;2;Another method is the piston lÃ¸ftemekanismesom uses the line which barrel.;1.73205080756888
4, 4, 1;zh;8;3;3;At this point, Hao and Harry burst in.;1.73205080756888
4, 4, 4;en;21;3;4;Under the Stimson Doctrine , USA , and under similar doctrines , the legitimacy of the Soviet occupation of Baltic states was never recognized .;0
