followup1;other1;language;length;how_natural;rating_list;merged_ratings;text;number_of_reasons;max_workers;mean_rating;std_dev
7,9,5,9,5,9,9,10,5,9,9,9,,9,9,5,9,6,9,9,7,,10,,5,9,5,6;"


















";zh;13;2, 2, 3, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 4, 3, 4, 2, 1;2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 4;2, 2, 3, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 4, 3, 4, 2, 1,2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 4;Before digital technology became widespread for decades, the scanned data is transmitted analog .;28;10;2.55 1.6;0.887041208323017 1.26491106406735
,,,,7,8,5,,,9,10,,,,,,,,,5,;"


















";en;12;4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;Born in New York , Pajak attended public schools in Buffalo , New York .;20;10;3.7 3.7;0.571240570577479 0.948683298050514
5,9,9,,,5,9,,,5,9,9,5,9,9,5,6,,,5,9,,9,9,5,10;"


















";zh;15;2, 3, 4, 4, 2, 4, 4, 2, 2, 2, 2, 3, 3, 4, 4, 2, 4, 2, 3, 2;4, 3, 2, 4, 1, 3, 4, 4, 1, 2, 2, 4, 2, 2, 2, 3, 1, 2;2, 3, 4, 4, 2, 4, 4, 2, 2, 2, 2, 3, 3, 4, 4, 2, 4, 2, 3, 2,4, 3, 2, 4, 1, 3, 4, 4, 1, 2, 2, 4, 2, 2, 2, 3, 1, 2;Brydan Klein and Denmark Propoggia is the defending champion , but Klein chose not to compete.;26;10;2.9 1.9;0.911909506128991 1.44913767461894
5,5,5,6,9,,6,10,,5,7,9,,5,5,5,,,,10,;"


















";ja;11;2, 2, 1, 2, 4, 2, 3, 4, 2, 3, 3, 4, 2, 3, 2, 4, 4, 4, 3, 4;1, 3, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 2, 3, 1;2, 2, 1, 2, 4, 2, 3, 4, 2, 3, 3, 4, 2, 3, 2, 4, 4, 4, 3, 4,1, 3, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 2, 3, 1;Calhoun County , Texas , Seadrift is a city of the United States .;20;10;2.9 2.2;0.967906041546987 1.54919333848297
5,9,9,,,6,9,,,9,5,5,5,6,5,6,5,6,5,6,6,9,5;"


















";zh;10;2, 3, 4, 4, 2, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2;3, 2, 1, 3, 2, 3, 1, 2, 1, 1, 4, 4, 1, 3, 3, 3, 4, 2;2, 3, 4, 4, 2, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2,3, 2, 1, 3, 2, 3, 1, 2, 1, 1, 4, 4, 1, 3, 3, 3, 4, 2;Clepsis illustrana is Tortricidae family of a species of moth .;23;10;2.75 1.6;0.850696309223401 1.26491106406735
9,9,,,,,10,7,8,,10,,,,9,,,,,,11;"


















Continuum";en;18;3, 3, 4, 4, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3, 3, 4, 4, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .;21;10;3.6 2.5;0.598243041616119 1.58113883008419
,,5,9,10,,5,9,,,5,9,,6,9,5,10,,,9,9,,5,9,,5,7;"


















";es;10;4, 4, 2, 4, 3, 4, 4, 3, 4, 2, 3, 1, 4, 4, 3, 3, 4, 3, 4, 2;2, 1, 4, 3, 4, 4, 4, 2, 1, 2, 2, 3, 2, 3;4, 4, 2, 4, 3, 4, 4, 3, 4, 2, 3, 1, 4, 4, 3, 3, 4, 3, 4, 2,2, 1, 4, 3, 4, 4, 4, 2, 1, 2, 2, 3, 2, 3;Charles Stanley Group plc is a British management company investments.;27;9;3.25 2;0.910465468000326 1.5
,,,,10,10,,,,,7,10,,,,,,,,;"


















";en;18;4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;He played three seasons in the NFL , one with the Seattle Seahawks and two with the Miami Dolphins .;19;9;3.8 4;0.410391340834062 0
5,7,9,10,,,5,9,11,,,5,7,5,9,10,5,5,10,,,5,5,9,11,,5,10,7,5,5;"



The sentence makes little sense.









Too many mixed words




";ja;15;1, 3, 4, 4, 2, 4, 4, 3, 1, 1, 2, 4, 4, 3, 1, 4, 2, 3, 2, 1;1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3;1, 3, 4, 4, 2, 4, 4, 3, 1, 1, 2, 4, 4, 3, 1, 4, 2, 3, 2, 1,1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3;How to play  crying Tichimi  Her became the basis of the 1958 movie  Restless year  .;31;9;2.65 2.33333333333333;1.22581873821025 1.58113883008419
,5,,,9,9,7,,6,5,10,5,9,,,5,6,6,9,10,,,;"


















";ja;10;4, 2, 4, 4, 3, 2, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 2, 4, 4, 4;4, 2, 3, 4, 2, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 1;4, 2, 4, 4, 3, 2, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 2, 4, 4, 4,4, 2, 3, 4, 2, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 1;In some cases , control of the radio is called programmable .;22;9;3.1 3;0.911909506128991 1.5
10,,,9,,9,10,,,,,10,8,,7,10,6,,,,;"


















";no;14;3, 4, 4, 2, 4, 2, 4, 4, 4, 4, 3, 2, 4, 2, 3, 3, 4, 4, 4, 4;4, 3, 3, 4, 3, 3, 3, 2, 3, 4, 4, 2, 3, 1, 3;3, 4, 4, 2, 4, 2, 4, 4, 4, 4, 3, 2, 4, 2, 3, 3, 4, 4, 4, 4,4, 3, 3, 4, 3, 3, 3, 2, 3, 4, 4, 2, 3, 1, 3;It is a fully ordered triclinic modification of potassium feldspar and dimorphous with orthoclase .;20;9;3.4 3.66666666666667;0.820782681668123 1
5,10,5,9,10,,,5,9,10,,,10,5,10,6,,5,10,5,9,10,10,7,10,10,5,6,10,9,10,7;"


















";zh;17;3, 2, 4, 4, 1, 4, 4, 3, 1, 3, 3, 4, 3, 2, 3, 1, 3, 1, 2, 3;4, 3, 4, 2, 2, 2, 3, 3, 4, 2, 4, 1, 4, 2, 1, 3, 1;3, 2, 4, 4, 1, 4, 4, 3, 1, 3, 3, 4, 3, 2, 3, 1, 3, 1, 2, 3,4, 3, 4, 2, 2, 2, 3, 3, 4, 2, 4, 1, 4, 2, 1, 3, 1;It is located in the Eastern European Alps Yuelienci the Hohe Tauern mountain range to the north .;32;9;2.7 2.66666666666667;1.08093526754916 1.58113883008419
,,,,,10,6,7,9,,,9,,,,,5,10,,,;"


















";zh;18;4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4;4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2;4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4,4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2;Given this approach, language and literacy interventions take place continually , while strengthening the bond between parents and children .;20;8;3.6 4;0.680557047378721 0
,10,,9,5,9,,,,9,,5,7,5,,5,,,,;"

















";es;18;4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4;3, 2, 4, 3, 3, 2, 3, 1, 1, 3, 4, 3, 1, 4, 1, 2, 3;4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4,3, 2, 4, 3, 3, 2, 3, 1, 1, 3, 4, 3, 1, 4, 1, 2, 3;He said the state could ask the company that prepares the ship for sinking to correct its position .;19;8;3.42105263157895 3.625;0.768533196975772 1.06066017177982
7,,,,,7,7,10,7,,,7,7,10,6,10,7,9,10,7,9,7,9,7,,10;"


















";en;21;2, 4, 4, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3;4, 2, 4, 2, 1, 3, 2, 3, 4, 2, 3, 4, 1, 3, 2, 4;2, 4, 4, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3,4, 2, 4, 2, 1, 3, 2, 3, 4, 2, 3, 4, 1, 3, 2, 4;"He has established three international organizations ; are Sawaad-e-A’zam , Ahle Sunnat Haqeeqee and International Sunni Movement which are non-profit and non-political movements .";26;7;3.2 3.14285714285714;0.695852373938459 1.4638501094228
5,9,,,,,5,9,5,9,5,9,5,,7,10,7,5,5,9,5,9,5,9,10,5,5,,10;"


















";ja;14;1, 4, 4, 4, 4, 1, 3, 2, 3, 4, 1, 3, 2, 2, 3, 2, 2, 1, 4, 3;4, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 3, 3, 4, 3;1, 4, 4, 4, 4, 1, 3, 2, 3, 4, 1, 3, 2, 2, 3, 2, 2, 1, 4, 3,4, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 3, 3, 4, 3;He was survived by two daughters and predeceased, his wife , by Barbara King Forest .;29;7;2.65 2.71428571428571;1.13670808176853 1.60356745147455
,,,,,,7,,,,,,,,5,,,,,5,7;"


















";en;19;4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2;4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2,4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;In his two spells for Southampton , Brown made a total of 81 appearances in all competitions , scoring 31 goals .;21;7;3.8 3.57142857142857;0.523148363780597 1.13389341902768
,7,5,10,5,7,,5,9,10,5,8,9,,5,7,9,10,5,,5,7,5,7,5,5,5,6,9,5,9,5;"


















";ja;23;4, 3, 2, 3, 4, 1, 1, 2, 4, 1, 3, 4, 1, 1, 1, 2, 2, 1, 1, 1;1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1;4, 3, 2, 3, 4, 1, 1, 2, 4, 1, 3, 4, 1, 1, 1, 2, 2, 1, 1, 1,1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1;It becomes 16T and 14T freewheel special FAT Heavy Duty BMX compatible with the March 16 is the  the teeth ACS, only chain 3/16  .;32;7;2.1 2.71428571428571;1.2096106376586 1.60356745147455
,8,,,,5,9,,5,7,9,,,,,10,7,10,,10,5,6;"


















";en;23;4, 2, 4, 4, 4, 2, 1, 4, 3, 3, 2, 4, 4, 4, 4, 3, 3, 4, 3, 2;4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4;4, 2, 4, 4, 4, 2, 1, 4, 3, 3, 2, 4, 4, 4, 4, 3, 3, 4, 3, 2,4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4;Geertz's final category of slametans , intermittently occurring and dependent on a specific situation , are somewhat less frequent and tend to be smaller affairs .;22;6;3.2 4;0.951453182187509 0
,,,,5,,,,6,,,,6,,,10,5,,,;"


















";ja;9;4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;Haslum is a district in the municipality Baerum , Norway .;19;6;3.75 4;0.444261658319319 0
,7,7,,,,,,5,5,,,,,,,9,,,8;"


















";no;23;4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;He was then transferred to Riazuddin 's Theoretical Physics Group ( TPG ) , where he had worked closely with Riazuddin in the development of nuclear weapons.;20;6;3.6 4;0.680557047378721 0
,,,,,5,9,10,5,9,6,10,,,,10,5,5,9,10,5,5,5,6,10,5,6,5,6;"


















";es;11;4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1, 1;2, 2, 2, 2, 3, 3, 1, 4, 1, 3, 1, 3, 4, 4, 1, 4, 3;4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1, 1,2, 2, 2, 2, 3, 3, 1, 4, 1, 3, 1, 3, 4, 4, 1, 4, 3;However, during these years that he learned English , Tamil and Kannada .;29;6;2.75 3;1.20852236875842 1.54919333848297
,9;"
";en;12;4, 3;4, 4, 4, 4, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4;4, 3,4, 4, 4, 4, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4;It is best known for the Puy du Fou historical theme park .;2;6;3.5 4;0.707106781186548 0
,6,7,9,,5,9,10,5,,,,,,,9,,5,9,,6,,5,9,10,11;"


















There are multiple mistakes in the sentence, in grammer, the incorrect use of a plural, and the word computer used instead of costume.";es;17;4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 4, 1, 1;3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 1, 2;4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 4, 1, 1,3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 1, 2;Gaga costumes throughout the video consists mainly of a single computer that was designed by Gianni Versace.;26;5;3.2 3.4;1.05630936457281 1.34164078649987
7,,10,,9,9,,10,,7,10,,9,10,10,,10,5,6,8,7,5,7,5;"


















";en;17;3, 4, 1, 4, 3, 3, 4, 3, 4, 2, 4, 2, 2, 4, 3, 2, 2, 2, 3, 1;3, 2, 3, 1, 3, 2, 4, 4, 1, 1, 2, 1, 3, 4, 3, 3;3, 4, 1, 4, 3, 3, 4, 3, 4, 2, 4, 2, 2, 4, 3, 2, 2, 2, 3, 1,3, 2, 3, 1, 3, 2, 4, 4, 1, 1, 2, 1, 3, 4, 3, 3;Harold` s batman Private Albert Scriven wrote to his widow Mabel on 16 September describing what happened :;24;5;2.8 2.8;1.00524937990007 1.6431676725155
,,,,,,,,9,6,7,,10,10,9,,,,,;"


















";en;20;4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 3;4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4,3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 3;It is set near the site of the pre-reformation St.Mary's Chapel and has long been associated with pagan ritual practices .;19;5;3.65 4;0.5871429486124 0
6,9,6,9,10,5,9,10,,5,9,5,6,9,,5,6;"








";zh;8;1, 2, 3, 2, 3, 4, 1, 1, 4, 2;2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4;1, 2, 3, 2, 3, 4, 1, 1, 4, 2,2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4;Guests have from two sports and entertainment world .;17;4;2.3 2.5;1.15950180872841 1.73205080756888
7,,,,,9,9,,,5,9,,9,,,,,,,,;"


















";en;14;3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;In 2003 , Willis Broadcasting Corp. sold the station to Starboard Broadcasting for $ 1.5 million .;20;2;3.65 4;0.745159820370595 0
5,9,,,,,,,,5,,,,11,5,5,8,5,7,,5,10;"











too complex words






";es;15;2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 1, 2, 3, 3, 4, 3, 3;4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 1, 2, 1, 4;2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 1, 2, 3, 3, 4, 3, 3,4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 1, 2, 1, 4;It is a totally ordered triclinic modification of potassium feldspar and is dimorphic with orthoclase .;22;2;3.3 4;0.923380516876639 0
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
