mop;language;text;combined_rating_list;;other1_gold;followup1;other1;followup1_gold;how_natural_gold
MOP4;es;Within days, the four decided to form their own theater company .;3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;7;;;
MOP4;es;When Archer asked his publishers for some money to record the new songs that he had written , they terminated his contract instead .;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;We have established several chapters PVMA , Inc. as the profession of veterinary medicine made during the current Philippines.;4, 2, 4, 3, 2, 3, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;9;;;
MOP4;es;Was inactivated in 1963 when SAC inactivated its provisional Strategic Wings , redesignating them permanent Air Force Wings .;3, 2, 4, 3, 1, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;9;;;
MOP4;es;Verrinder made his first-class debut for Surrey against Middlesex in the 1974 County Championship .;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Verrinder county championship in 1974 made his first-class debut for Surrey against Middlesex .;3, 2, 3, 3, 4, 4, 4, 2, 4, 4, 3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Under the Stimson Doctrine , USA , and under similar doctrines , the legitimacy of the Soviet occupation of Baltic states was never recognized .;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Under Stimson Doctrine , the United States and under similar doctrines , the legitimacy of the Soviet occupation of the Baltic States was never recognized .;3, 4, 1, 4, 2, 2, 4, 2, 4, 3, 3, 4, 2, 2, 4, 3, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Topical form to treat glaucoma , It has been approved in Japan .;3, 3, 1, 3, 3, 1, 2, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;To make a return of Jungledyret 3, he hopes that you maintain the safety of Hugo Turn over a new leaf .;4, 3, 1, 3, 1, 2, 2, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Throughout his career , I have created him to challenge , hundreds of taboo and prejudice and mock tableau provocative and humorous inexplicable .;3, 2, 2, 4, 4, 1, 1, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;This temple is made of stone gray fine-grained sand .;4, 4, 4, 4, 3, 3, 4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;This temple is made of a fine-grained gray sand stone.;3, 4, 4, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;5;;;
MOP4;es;This story does not hold up well under scrutiny.;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;10;;;
MOP4;es;This sector has opened trading in three months and six months futures USD / KZT rate and KASE Index .;3, 2, 2, 3, 4, 3, 4, 2, 4, 4, 4, 4, 2, 4, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;This paper then addresses the most important question in astronomy : the stability of the Solar System , first investigated by Laplace.;4, 4, 3, 4, 4, 4, 3, 2, 2, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;This left Hayden eight points behind Rossi in the championship with one race left to go .;4, 4, 4, 4, 4, 3, 2, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;This decoration has been given specifically for women until the difference between the 1976 's .;3, 4, 2, 3, 2, 4, 1, 3, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;en;This decoration had the distinction of being conferred exclusively to females until 1976 .;4, 4, 3, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 1, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;They are perceived/misconceived to severely damage hard terrain like asphalt pavement , but , actually , often have significantly lower ground pressures than equivalent or lighter wheeled vehicles .;3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;Therefore, it is probably time assigned to a new , yet - to-be- named subfamily.;3, 3, 4, 4, 2, 3, 4, 3, 3, 2, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;There, he was a student DJ and studied journalism .;4, 3, 3, 2, 3, 4, 4, 3, 4, 2, 3, 4, 3, 4, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;Then , by lowering , the fare of SpiceJet again was followed by , Jet Airways plans to attract more passengers .;2, 2, 3, 2, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;Their name , talangpaz, meaning  rock or boulder , which evokes a religious house, they built on the rock.;3, 1, 4, 4, 2, 2, 4, 4, 1, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;Their first title ,  Home , released praise on September 28, 1999 , and successfully sold .;3, 3, 1, 3, 2, 4, 4, 4, 2, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The two horses ran head-to -head down the stretch with a certain Dr Devious go ahead near the wire to win by a short head.;3, 3, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The son of William T. Lesley Lesley was sheriff and a member of the Constitutional Convention of 1885 Florida.;3, 2, 3, 4, 3, 4, 4, 4, 2, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The skulls were hand-crafted and required a lot of preparation , so it was one of the first things started for the episode's production .;4, 3, 4, 4, 4, 4, 4, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;10;;;
MOP4;en;The siliceous quartz and different color from white to pale olive gray.;3, 4, 4, 4, 2, 4, 2, 4, 2, 3, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The reviews were formally brought to an end in 1967 by the Local Government ( Termination of Reviews ) Act 1967 , which dissolved the Commission .;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The race was stopped after 20 laps due to an accident involving Niklas Ajo .;4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The most common spelling of the word by the character new /  gods  ( gods ) , meaning  God  or  sacred  and no ( Wu ) , refers to the military , knights or arm.;3, 2, 4, 1, 4, 2, 2, 3, 3, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;5;;;
MOP4;en;The most common orthography of the word consists of the characters  shin  /kami ( ç¥ž ) , meaning deity  or  something divine , and bu  ( æ­¦ ) , denoting military , chivalry or arms .;3, 4, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;10;;;
MOP4;en;The median income for a household in the town was $ 24,583 , and the median income for a family was $ 23,214 .;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The median income for a household in the town was $ 24,583 , and the median income for a family is $ 23,214 .;4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 2, 4, 4, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;en;The Limited Edition , which comes with gold case and special black , and includes both  Failure - Intro  and  Failure - heaven  .;1, 2, 2, 2, 3, 1, 2, 3, 4, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;5;;;
MOP4;en;The Interactive Products Group , with a workforce of 95, had his own animators , art department , and engineers .;2, 4, 4, 4, 4, 4, 3, 4, 3, 1, 3, 2, 4, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;;;;;;
MOP4;es;The highway began on US 62 south of Prairie Grove and drove south to a factory.;2, 3, 2, 3, 4, 2, 3, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;;;;
MOP4;es;The first edition of the limited edition comes with a special black and gold case and has two Disorder - Intro and  Disorder - Heaven  .;4, 4, 3, 2, 2, 3, 3, 3, 4, 3, 2, 2, 3, 1, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;6;;;
MOP4;es;The European Court of Human Rights ( ECHR) said on December 4, 2008 , the legality of the ban.;4, 4, 4, 4, 2, 4, 4, 4, 3, 2, 3, 3, 4, 1, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;;;;
MOP4;es;The doctrine merges Israeli counterterrorism tactics with advanced theories Fixing Broken Windows by criminologist George L. Kelling and James Q sociologist . Wilson.;3, 4, 3, 3, 2, 2, 4, 1, 2, 4, 3, 4, 4, 2, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;11;meaning;;
MOP4;es;The department has opened trade three -month and six -month futures dollar / CRCKZT exchange rate and KASE index .;2, 3, 2, 2, 4, 4, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;5;;;
MOP4;es;The Committee received , discussed , and sent manuscripts out for critical review .;4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;7;;;
MOP4;es;The Committee has received, discussed and manuscripts sent out for critical review .;3, 3, 4, 4, 3, 2, 4, 2, 2, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;;;;
MOP4;es;The characteristics of the malls over 20 anchors and over 200 specialty shops and a variety of theme restaurants, casual restaurants and local art leisure .;3, 4, 4, 3, 3, 3, 2, 4, 3, 4, 2, 1, 2, 3, 4, 1, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;;;5;;;
MOP4;en;The change came after INN added HD capabilities to its centralized production studios.;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;9;;;
MOP4;en;The Anglo -saksiske building was originally 34 feet wide by 38 feet long, and was probably divided into two rooms.;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;9;;;
MOP4;en;The 2010 Scottish Cup Final was the 125th final of the Scotland's most prestigious football knockout competition , the Scottish Cup .;3, 3, 4, 4, 3, 3, 2, 2, 3, 3, 4, 4, 4, 3, 4, 3, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;;;;
MOP4;en;The ( born November 12, 1952 ) , Richard Hargrave Colless is a member of the KMT Australian politicians and the Australian New South Wales Parliament .;3, 2, 3, 3, 1, 3, 1, 4, 2, 3, 3, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;6;;;
MOP4;en;Take That also used the backing music track  Kidz  from their 2010 album Progress  .;4, 3, 4, 4, 3, 2, 3, 2, 4, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;11;doesn't quite make sense;;
MOP4;en;Such alternative description of QCD physical could provide new methods to calculate many observables more efficiently .;2, 4, 4, 3, 3, 1, 4, 4, 4, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;5;;;
MOP4;en;Starting in 1999 , the central bank began to implement reforms in order to meet international standards.;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;6;;;
MOP4;en;South of Shadwell Basin starting from the west :;3, 3, 3, 3, 4, 4, 2, 2, 2, 3, 2, 4, 2, 2, 1, 4, 4, 3, 3, 4, 4, 2, 2, 2, 3, 1, 3, 4, 2, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;9;;;
MOP4;en;Sonora () officially Free and Sovereign State of Sonora ( ) is one of 31 states with the Federal District, comprise the 32 federative entities of Mexico .;2, 3, 2, 4, 3, 3, 4, 3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;;;5;;;
MOP4;es;Solemnity monomanias uncongenial and fans are unimaginable in this context.;4, 4, 2, 3, 4, 3, 2, 3, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Solemnity does not suit them and fanatical monomanias are unimaginable in this context .;3, 4, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Since then , I've sold 1.36 million copies in the UK .;4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Since she was already finished composing enough material for two albums , she sent them to a meeting to plan her debut.;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 4, 4, 4, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Simons said that Lansky and his female backup ' attire was  glamorous kick - ass - or - maybe a- sides -VA- club dresses and heels .;4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;She was the People's Party for the chair of party democracy and freedom from March 29 1969 until March 15, 1975 .;4, 2, 1, 2, 3, 4, 4, 2, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;She was the 2007-08 president of the National Conference of Democratic Mayors .;4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Series is based on the novel written by Diana Gabaldon of  Outlander  .;4, 3, 3, 3, 2, 2, 4, 4, 3, 3, 4, 4, 2, 2, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Satiacum was convicted , but the Supreme Court of the State of Washington overturned the conviction .;4, 4, 2, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Richard Hargrave Colless (born November 12, 1952 ) is an Australian politician and National Party member of the Legislative Council of New South Wales Australia .;4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;5;;;
MOP4;es;Randonneuring bike way , requiring almost covers a long period of time the generous allocation of continuous riding distance.;3, 2, 4, 1, 4, 1, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Qun -Quran or Qun - Qiran ( r.1251 - c.1280 ) was khan of Orda 's Ulus .;4, 4, 1, 4, 4, 4, 3, 2, 4, 4, 4, 3, 3, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Posters before the mistake was discovered by Coca-Cola management has been distributed to shops bottle hotels and thousands of Australia .;3, 3, 2, 3, 3, 3, 2, 2, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Peter Ustinov said, before looking  uMabatha  , he did not really understand  Macbeth  .;3, 3, 2, 3, 2, 4, 3, 3, 4, 4, 2, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
MOP4;es;Percentage of the entire show vote will not be published .;4, 4, 3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;;;;;;
